Jugador,Champions (x5),Premier,La Liga,Serie A,Bundesliga,Ligue 1,Eredivisie,Selección (x4),Sudamérica (x3),Carrera,Carrera (x2),Goles de falta (x10),Mundiales (x40),Mundiales (x80),Final Champions (x250),Final Mundial (x600)
A. VIDAL,16,0,0,37,29,0,0,34,13,161,161,0,0,0,0,0
ADRIANO,14,0,0,77,0,0,0,27,67,184,184,0,1,1,0,0
ALABA,0,0,0,0,24,0,0,0,0,0,0,16,0,0,0,0
ALAN SHEARER,0,283,0,0,0,0,0,30,0,393,393,0,2,2,0,0
ALESSANDRO NESTA,0,0,0,8,0,0,0,0,0,13,13,0,0,0,0,0
ALEXIS SANCHEZ,17,63,38,0,0,14,0,51,25,255,255,13,0,0,0,0
ANGEL DI MARIA,24,3,0,0,0,57,0,31,0,235,235,12,3,3,0,1
ANTONIO RUDIGER,0,9,0,2,0,0,0,3,0,33,33,0,0,0,0,0
ARJEN ROBBEN,0,0,0,0,99,0,0,0,0,0,0,0,6,6,1,0
ASHLEY COLE,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BACCA,0,0,62,31,0,0,0,0,167,338,338,0,0,0,0,0
BECKENBAUER,0,0,0,0,44,0,0,14,0,113,113,5,5,5,0,0
BECKHAM,0,62,0,0,0,0,0,0,0,0,0,65,3,3,0,0
BENJAMIN PAVARD,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BENZEMA,90,0,238,0,0,0,0,0,0,495,495,0,0,0,0,0
BERNARDO SILVA,16,43,0,0,0,0,0,13,0,0,0,2,0,0,0,0
BOBBY CHARLTON,0,198,0,0,0,0,0,49,0,0,0,0,4,4,2,0
BOBBY MOORE,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSCHWEINSTEIGER,12,0,0,0,45,0,0,0,0,106,106,5,2,2,0,0
C RONALDO,0,0,0,0,0,0,0,0,0,938,938,64,0,0,4,0
CAFU,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
CARLOS TEVEZ,0,85,0,0,0,0,0,13,140,305,305,0,0,0,0,0
CARLOS VELA,3,0,69,0,0,0,0,19,0,216,216,0,1,1,0,0
CARVAJAL,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CASEMIRO,9,0,24,0,0,0,0,0,0,75,75,0,0,0,1,0
CHICHARITO,14,53,0,0,0,0,0,52,0,261,261,0,4,4,0,0
CLARENCE SEEDORF,11,0,0,58,0,0,11,0,23,0,0,0,0,0,0,0
CLAUDIO PIZARRO,21,0,0,0,197,0,0,0,0,340,340,0,0,0,0,0
DANI ALVES,0,0,26,2,0,0,0,8,0,72,72,12,0,0,0,0
DAVID LUIZ,0,0,0,0,0,0,0,3,6,0,0,10,2,2,0,0
DAVID SILVA,0,60,30,0,0,0,0,35,0,160,160,0,0,0,0,0
DAVID TREZEGUET,0,0,12,123,0,52,0,0,0,0,0,0,1,1,0,0
DAVID VILLA,0,0,185,0,0,0,0,0,0,441,441,0,9,9,1,0
DE BRUYNE,16,70,0,0,23,0,0,0,0,187,187,16,2,2,0,0
DECO,13,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0
DEL PIERO,42,0,0,188,0,0,0,0,0,340,340,53,2,2,1,0
DEMPSEY,0,57,0,0,0,0,0,57,0,0,0,0,4,4,0,0
DENNIS BERGKAMP,0,87,0,0,0,0,102,37,0,309,309,0,6,6,0,0
DIEGO GODIN,0,0,21,2,0,0,0,8,0,0,0,0,1,1,1,0
